Absam__Absam,Absam,7873599,"47,29646","11,51487",not checked yet,Austria,Absam
Ainet__Alkus,Alkus,2782805,"46,88333","12,7",not checked yet,Austria,Ainet
Ainet__Unterlaßnig,Unterlaßnig,NULL,NULL,NULL,not checked yet,NULL,Ainet
Ainet__Virgen,Virgen,NULL,NULL,NULL,not checked yet,NULL,Ainet
Ampezzo__Alverà,Alverà,3218700,"46,54889","12,15556",not checked yet,Italy,Ampezzo
Ampezzo__Campo,Campo,NULL,NULL,NULL,not checked yet,NULL,Ampezzo
Ampezzo__Coll,Coll,NULL,NULL,NULL,not checked yet,NULL,Ampezzo
Ampezzo__Cortina,Cortina,3177950,"44,87191","9,92475",not checked yet,Italy,Ampezzo
Ampezzo__Zuel,Zuel,3163838,"46,52361","12,14833",not checked yet,Italy,Ampezzo
Bozen__Bozen,JimmiXS,3181913,"46,49067","11,33982",4NrOus http://www.FyLitCl7Pf7kjQdDUOLQOuaxTXbj5iNG.com,Italy,Bozen
Bozen__Frag,Mark,NULL,NULL,NULL,JGRtKi http://www.y7YwKx7Pm6OnyJvolbcwrWdoEnRF29pb.com,Germany,Bozen
"Bozen__Gries, LG Bozen","Gries, LG Bozen",NULL,NULL,NULL,not checked yet,NULL,Bozen
Bozen__Kardaun,Kardaun,NULL,NULL,NULL,not checked yet,NULL,Bozen
Bozen__Marling,Marling,NULL,NULL,NULL,not checked yet,NULL,Bozen
Bozen__Moritzing,Moritzing,NULL,NULL,NULL,not checked yet,NULL,Bozen
Bozen__St. Georgen,St. Georgen,NULL,NULL,NULL,not checked yet,NULL,Bozen
Brixen__Albeins,Albeins,3183326,"46,67657","11,63105",not checked yet,NULL,Brixen
Brixen__Brixen,Brixen,3181550,"46,71503","11,65598",not checked yet,Italy,Brixen
Brixen__Elvas,Elvas,3177408,"46,73257","11,66757",not checked yet,Italy,Brixen
Brixen__Kranebitten,Kranebitten,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__Lüsen,Lüsen,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__Milland,Milland,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__Natz,Natz,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__Neustift,Neustift,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__Pinzagen,Pinzagen,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__Ras,JimmiXS,NULL,NULL,NULL,IzvlyG http://www.FyLitCl7Pf7kjQdDUOLQOuaxTXbj5iNG.com,Germany,Brixen
Brixen__Schalders,Schalders,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__St. Leonhard,St. Leonhard,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__Vahrn,Vahrn,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__in der Mahr,in der Mahr,NULL,NULL,NULL,not checked yet,NULL,Brixen
Brixen__unbekannt,unbekannt,NULL,NULL,NULL,not checked yet,NULL,Brixen
Bruneck__Ameten ,Ameten ,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Aufhofen ,Aufhofen ,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Ellen,Ellen,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Gözenberg,Gözenberg,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Hörschwang,Hörschwang,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Kiens,Kiens,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Lorenzen,Lorenzen,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Niederwielen.,Niederwielen.,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Ober-Rasen,Ober-Rasen,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Oberwielenbach,Oberwielenbach,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Pfalzen,Pfalzen,NULL,NULL,NULL,not checked yet,NULL,Bruneck
Bruneck__Platten,Platten,NULL,NULL,NULL,not checked yet,NULL,Bruneck
