1000,Waldner,Alois,,1809,NULL,NULL,,NULL,bauer,Telfs__Ranggen,unknown__unbekannt,vermisst
1001,Seelos,Anton,,1809,4,11,,NULL,handwerker,Telfs__Reith,Innsbruck__Berg Isel,erschossen
1002,Keil,Johann ,,1809,4,11,,NULL,bauer,Telfs__Oberhofen,Innsbruck__Berg Isel,nahkampf
1003,Praxmarer,Anton,,1809,4,11,,NULL,handwerker,Telfs__Zirl,Innsbruck__Berg Isel,erschossen
1004,Egger,Andrä,,1809,4,11,,NULL,bauer,Telfs__Oberperfuß,Innsbruck__Berg Isel,erschossen
1005,Stubenböck,Peter,28,1809,5,4,,NULL,bauer,Telfs__Telfs,Innsbruck__Berg Isel,wunde
1006,Gapp,Johann,,1809,6,15,,NULL,bauer,Telfs__Pettnau,Telfs__Pettnau,wunde
1007,Trenkwalder,Josef,,1809,8,9,,NULL,handwerker,Telfs__Oberhofen,Telfs__Oberhofen,erschossen
1008,Reitmayr,Jakob,,1809,8,9,,NULL,bauer,Telfs__Flaurling,Telfs__Flaurling,nahkampf
1009,Schönherr,Georg,,1809,8,9,,NULL,bauer,Telfs__Flaurling,Telfs__Flaurling,erschossen
1010,Kirchmayr,Franz,,1809,8,9,,NULL,bauer,Telfs__Pfaffenhofen,Telfs__Pfaffenhofen,erschossen
1011,Grünauer,Josef,,1809,8,9,,NULL,bauer,Telfs__Inzing,unknown__Hatting,erschossen
1012,Reindl,Josef,,1809,4,11,,NULL,bauer,Telfs__Leutasch,Innsbruck__Berg Isel,gefang.
1013,Neuner,Josef,,1809,NULL,NULL,,NULL,bauer,Telfs__Telfs,unknown__Scharnitz,erschossen
1014,Neuner,Josef,,1809,NULL,NULL,,NULL,bauer,Telfs__Telfs,unknown__Scharnitz,erschossen
1015,Schöpf,Matthias,,1809,4,11,,NULL,bauer,Telfs__Leutasch,Innsbruck__Berg Isel,gefang.
1016,Pfefferle,Johann,,1809,4,11,,NULL,bauer,Telfs__Leutasch,Innsbruck__Berg Isel,gefang.
1023,Raffel,Jakob,38,1809,5,31,,NULL,unbekannt,Telfs__Telfs,Innsbruck__Berg Isel,wunde
1024,Graßmayr,Michael,,1809,4,13,,NULL,bauer,Silz__Silz,Innsbruck__Berg Isel,erschossen
1025,Klotz,Christian,,1809,4,13,,NULL,bauer,Silz__Silz,Innsbruck__Berg Isel,erschossen
1029,Schober,Vinzenz,,1809,NULL,NULL,,NULL,bauer,Silz__Frohnhausen,Innsbruck__Berg Isel,erschossen
1030,Mader,Alexander,,1809,NULL,NULL,,NULL,bauer,Silz__Barwies,unknown__Telfeser Innbrücke,erschossen
1044,Stigger,Joachim,,1809,NULL,NULL,,NULL,bauer,Silz__Riedern,Innsbruck__Berg Isel,erschossen
1045,Maister,Johann,,1809,NULL,NULL,,NULL,bauer,Silz__Sautens,Innsbruck__Berg Isel,erschossen
1046,Grießer,Josef,,1809,NULL,NULL,,NULL,bauer,Silz__Habichen,Innsbruck__Berg Isel,erschossen
1047,Neurauter,Liborius,,1809,NULL,NULL,,NULL,bauer,Silz__auf Au,Innsbruck__Berg Isel,erschossen
1048,Plattner,Josef,,1809,NULL,NULL,,NULL,bauer,Silz__Habichen,Innsbruck__Berg Isel,erschossen
1049,Auer,Peter,,1809,NULL,NULL,,NULL,arbeiter,Silz__Längenfeld,Silz__Silz,erschossen
1050,Gstrein,Johann,,1809,NULL,NULL,,NULL,bauer,Silz__Gurgl,Kastelruth__Völs,erschossen
1052a,Gstrein,Peter,,1809,NULL,NULL,,NULL,bauer,Silz__Vent,Innsbruck__Berg Isel,erschossen
1054,Stigger,Abraham ,36,1809,4,13,,NULL,bauer,Silz__Haiming,Innsbruck__Berg Isel,wunde
1055,Graßmayr,Michael,,1809,4,13,,NULL,bauer,Silz__Ötz,Innsbruck__Berg Isel,wunde
1062,Zoller,Anton,49,1809,11,1,,NULL,handwerker,Imst__Imst,Innsbruck__Berg Isel,gefallen
1063,Berktoll,Alois,26,1809,10,24,,NULL,handwerker,Imst__Imst,Innsbruck__Berg Isel,sonstig.
1064,Mennel,Ignaz,42,1809,11,1,,NULL,handwerker,Imst__Imst,Telfs__Leutasch,gefallen
1065,Plattner,Isidor,33,1809,8,12,,NULL,bauer,Imst__Arzl bei Imst,Innsbruck__Berg Isel,erschossen
1066,Urban,Meinrad,53,1809,8,13,,NULL,bauer,Imst__Imst,Innsbruck__Berg Isel,erschossen
1067,Lambacher,Kaspar,28,1809,8,13,,NULL,bauer,Imst__Imst,Innsbruck__Berg Isel,erschossen
1068,Höllrigl,Johann,33,1809,8,14,,NULL,bauer,Imst__Imst,Imst__Imst,gefallen
1069,Auer,Peter,31,1809,8,2,,NULL,bauer,Imst__Pitzthal,Silz__Silz,gefallen
1070,Rauch,Jakob,20,1809,11,3,,NULL,bauer,Imst__Pitzthal,Innsbruck__Berg Isel,erschossen
1071,Guem,Wendelin,33,1809,7,2,,NULL,handwerker,Imst__Wenns,unknown__bei Kochl in Bayern,erschossen
1072,Weber,Josef,33,1809,8,11,,NULL,bauer,Imst__Wenns,Innsbruck__Berg Isel,erschossen
1073,Gstrein,Josef,19,1809,11,13,,NULL,bauer,Imst__Wenns,Innsbruck__Berg Isel,erschossen
1074,Schranz,Jakob,23,1809,11,13,,NULL,bauer,Imst__Wenns,Innsbruck__Berg Isel,erschossen
1075,Grießer,Franz,23,1809,11,13,,NULL,bauer,Imst__Wenns,Innsbruck__Berg Isel,erschossen
1076a,Gabl,Andrä,,1809,11,1,,NULL,bauer,Landeck__Sauers,Innsbruck__Berg Isel,erschossen
1077b,Rudiger,Andrä,,1809,11,1,,NULL,handwerker,Landeck__Zams,Imst__Imst,gefallen
1078,Schweninger,Josef,,1809,11,1,,NULL,bauer,Landeck__Zams,Imst__Imst,gefallen
1079,Pfeifer,Johann,,1809,11,1,,NULL,handwerker,Landeck__Zams,Imst__Imst,gefallen
1080c,Recheis,Franz,,1809,11,1,,NULL,handwerker,Landeck__Zams,Innsbruck__Berg Isel,erschossen
1084,Falch,Josef,,1809,6,9,,NULL,bauer,Landeck__Fließ,unknown__Murnau in Bayern,erschossen
1085,Stuemer,Martin,,1809,6,9,,NULL,bauer,Landeck__Fließ,unknown__Murnau in Bayern,erschossen
1086,Widerin,Thomas,,1809,8,8,,NULL,bauer,Landeck__Fließ,unknown__Pontlazbrücke,erschossen
1087,Zobl,Alois,,1809,11,11,,NULL,bauer,Landeck__Landeck,Imst__Imst,erschossen
1088,Mayrhofer,Matthias,,1809,9,13,,NULL,unbekannt,Landeck__Perfuchs,unknown__Bludenz,wunde
1089f,Grawieser,Franz,,1809,10,4,,NULL,bauer,Landeck__Grins,unknown__Bruggen,erschossen
1090g,Mungenast,Johann ,,1809,11,25,,NULL,arbeiter,Landeck__Pians,unknown__Terlan,erschossen
1091h,Handle,Anton,,1809,11,24,,NULL,handwerker,Landeck__Kappl,unknown__Giggl nächst Tobadill,erschossen
1102,Pfeifer,Alois,,1809,11,24,,NULL,bauer,Ischgl__Innerversal /Ischgl,unknown__Patznaun,erschossen
1106,Strobl,Andrä,,1809,6,9,,NULL,bauer,Ried__Serfaus,unknown__Murnau in Bayern,gefallen
1107,Thurner,Josef,,1809,6,9,,NULL,handwerker,Ried__Ried,unknown__Mittenwald in Bayern,gefallen
1108,Patschneider,Johann,,1809,8,9,,NULL,bauer,Ried__Ried,unknown__Pontlatzerbrücke,gefallen
1109,Lechleitner,Anton,,1809,8,9,,NULL,handwerker,Ried__Fendels,unknown__Pontlatzerbrücke,gefallen
1110,Sailer,Michael,,1809,8,9,,NULL,handwerker,Ried__Kauns,unknown__Pontlatzerbrücke,gefallen
1111,Gfall,Micheal,,1809,8,9,,NULL,handwerker,Ried__Kauns,unknown__Pontlatzerbrücke,wunde
1112,Rauch,Franz,,1809,8,9,,NULL,bauer,Ried__Kaunserberg,unknown__Pontlatzerbrücke,gefallen
1113,Eckhart,Josef,,1809,8,9,,NULL,bauer,Ried__Kaunserberg,unknown__Pontlatzerbrücke,gefallen
1114,Penz,Wolfgang,,1809,11,1,,NULL,arbeiter,Ried__Fiss,Innsbruck__Berg Isel,wunde
1133,Theny,Josef,,1809,8,13,,NULL,unbekannt,Nauders u. Pfunds__Haid,Innsbruck__Berg Isel,gefallen
1135,Auer,Eustach ,,1809,8,13,,NULL,handwerker,Nauders u. Pfunds__Graun,Innsbruck__Berg Isel,erschossen
1136,Plangger,Anselm,,1809,8,13,,NULL,handwerker,Nauders u. Pfunds__Graun,Innsbruck__Berg Isel,erschossen
1137,Lechthaler,Johann,,1809,8,13,,NULL,bauer,Nauders u. Pfunds__Reschen,Innsbruck__Berg Isel,erschossen
1138,Stecher,Florian,,1809,8,15,,NULL,bauer,Nauders u. Pfunds__Langtaufers,Innsbruck__Berg Isel,erschossen
1139,Fidal,Josef,,1809,8,15,,NULL,bauer,Nauders u. Pfunds__Spinn,Innsbruck__Berg Isel,wunde
1140,Lechthaler,Alois,,1809,8,13,,NULL,beamter,Nauders u. Pfunds__Nauders ,Innsbruck__Berg Isel,erschossen
1141,Kuppelwieser,Johann,,1809,8,13,,NULL,handwerker,Nauders u. Pfunds__Nauders ,Innsbruck__Berg Isel,erschossen
1142,Lechthaler,Josef,,1809,11,1,,NULL,bauer,Nauders u. Pfunds__Kompatsch,Innsbruck__Berg Isel,gefallen
1143,Pali,Pius,,1809,11,20,,NULL,handwerker,Nauders u. Pfunds__Nauders ,unknown__Tösens,gefallen
1144,Folie,Amadeus ,,1809,11,20,,NULL,unbekannt,Nauders u. Pfunds__Nauders ,unknown__Tösens,wunde
1145,Mark,Johann,,1809,11,20,,NULL,unbekannt,Nauders u. Pfunds__Noggels ,unknown__Tösens,gefang.
1146,Mark,Alois,,1809,11,20,,NULL,unbekannt,Nauders u. Pfunds__Gstalda,unknown__Tösens,gefang.
1147,Waldhart,Martin,40,1809,10,30,,NULL,handwerker,Nauders u. Pfunds__Pfunds,Innsbruck__Berg Isel,wunde
1148,Pinzger,Eustach ,50,1809,10,30,,NULL,arbeiter,Nauders u. Pfunds__Pfunds,Innsbruck__Berg Isel,wunde
1178,Linser,Anton,,1809,11,1,,NULL,soldat,Glurns__Mals,Innsbruck__Berg Isel,erschossen
1179,Gaisser,Josef,,1809,11,24,,NULL,bauer,Glurns__Matsch,unknown__Terlan,erschossen
1180,Thöni,Johann,,1809,NULL,NULL,,NULL,handwerker,Glurns__Laatsch,Innsbruck__Berg Isel,wunde
1181,Ruepp,Veit,,1809,8,15,,NULL,bauer,Glurns__Schluderns,Innsbruck__Berg Isel,erschossen
1182,Tuscher,Peter,,1809,11,15,,NULL,handwerker,Glurns__Schluderns,unknown__Tannheim,wunde
1183,Wallnöfer,Simon,,1809,NULL,NULL,,NULL,bauer,Glurns__Lichtenberg,Innsbruck__Berg Isel,wunde
1184,Bernhart,Anton,,1809,8,13,,NULL,handwerker,Glurns__Schleis,Innsbruck__Berg Isel,erschossen
1185,Nutzinger,Ignaz,,1810,1,21,,NULL,arbeiter,Glurns__Mals,Bozen__Bozen,exekution
1188,Schmid,Konrad,,1809,5,18,,NULL,handwerker,Ehrenberg__Aschau,unknown__Brücke zu Wertach,nahkampf
1189,Nauß,Franz,,1809,5,18,,NULL,handwerker,Ehrenberg__Aschau,unknown__Brücke zu Wertach,nahkampf
1190,Köpfle,Anton,,1809,5,18,,NULL,bauer,Ehrenberg__Aschau,unknown__Brücke zu Wertach,nahkampf
1191,Zangerle,Josef,,1809,8,15,,NULL,bauer,Ehrenberg__Aschau,unknown__Steinach bei Pfonten (Füssen),nahkampf
1192,Bader,Anton,,1809,8,15,,NULL,bauer,Ehrenberg__Vils,unknown__Steinach bei Pfonten (Füssen),erschossen
1193,Kapeller,Josef,40,1809,8,12,,NULL,bauer,Ehrenberg__Loog,"unknown__Jochberg, LG Sonthofen",erschossen
1194,Hörbst,Anton,29,1809,11,15,,NULL,bauer,Ehrenberg__Berg,unknown__Tannheim,erschossen
1195,Boß,Dominikus,,1809,4,17,,NULL,bauer,Ehrenberg__Breitenwang,unknown__Ulrichsbrücke,vermisst
1196,Singer,Johann ,,1809,6,18,,NULL,handwerker,Ehrenberg__Reutte,"unknown__Murnau, Bayern",erschossen
1197,Bernzott,Jakob,,1809,8,11,,NULL,bauer,Ehrenberg__Haldensee,"unknown__Joch, Sonthofen",erschossen
1198,Kapler,Maximilian,,1809,8,11,,NULL,bauer,Ehrenberg__Loog,"unknown__Joch, Sonthofen",erschossen
1199,Rief,Alois,,1809,9,27,,NULL,bauer,Ehrenberg__Haldensee,"unknown__Hintelang, Sonthofen",erschossen
1200,Schratz,Franz,,1809,10,26,,NULL,bauer,Ehrenberg__Neßlwängle,"unknown__Hintelang, Sonthofen",wunde
